ticker,date,hold_days,hybrid_signal,confidence,price_change_pct,correct
TSLA,2024-11-29,20,SELL,55,20.93,False
TSLA,2024-12-02,5,SELL,55,9.16,False
TSLA,2024-12-02,10,SELL,55,29.66,False
TSLA,2024-12-02,20,SELL,55,13.09,False
TSLA,2024-12-03,5,SELL,55,14.11,False
TSLA,2024-12-03,10,SELL,55,36.55,False
TSLA,2024-12-03,20,SELL,55,7.93,False
TSLA,2024-12-04,5,SELL,55,18.67,False
TSLA,2024-12-04,10,SELL,55,22.97,False
TSLA,2024-12-04,20,SELL,55,14.67,False
TSLA,2024-12-05,5,BUY,55,13.16,True
TSLA,2024-12-05,10,BUY,55,18.05,True
TSLA,2024-12-05,20,BUY,55,11.25,True
TSLA,2024-12-06,5,BUY,55,12.08,True
TSLA,2024-12-06,10,BUY,55,8.18,True
TSLA,2024-12-06,20,BUY,55,1.32,True
TSLA,2024-12-09,5,BUY,55,18.79,True
TSLA,2024-12-09,10,BUY,55,10.47,True
TSLA,2024-12-09,20,BUY,55,1.32,True
TSLA,2024-12-10,5,BUY,55,19.67,True
TSLA,2024-12-10,10,BUY,55,15.28,True
TSLA,2024-12-10,20,BUY,55,-1.56,False
TSLA,2024-12-11,5,SELL,55,3.62,False
TSLA,2024-12-11,10,SELL,55,6.91,False
TSLA,2024-12-11,20,SELL,55,-5.05,True
TSLA,2024-12-12,5,SELL,55,4.32,False
TSLA,2024-12-12,10,SELL,55,3.24,False
TSLA,2024-12-12,20,SELL,55,-5.2,True
TSLA,2024-12-13,5,SELL,55,-3.48,True
TSLA,2024-12-13,10,SELL,55,-4.31,True
TSLA,2024-12-13,20,SELL,55,-1.84,True
TSLA,2024-12-16,5,BUY,55,-7.0,False
TSLA,2024-12-16,10,BUY,55,-12.78,False
TSLA,2024-12-16,20,BUY,55,-10.63,False
TSLA,2024-12-17,5,BUY,55,-3.66,False
TSLA,2024-12-17,10,BUY,55,-20.96,False
TSLA,2024-12-17,20,BUY,55,-11.12,False
TSLA,2024-12-18,5,BUY,55,3.18,True
TSLA,2024-12-18,10,BUY,55,-6.75,False
TSLA,2024-12-18,20,BUY,55,-3.65,False
TSLA,2024-12-19,5,BUY,55,-1.03,False
TSLA,2024-12-19,10,BUY,55,-5.76,False
TSLA,2024-12-19,20,BUY,55,-4.83,False
TSLA,2024-12-20,5,BUY,55,-0.87,False
TSLA,2024-12-20,10,BUY,55,-6.34,False
TSLA,2024-12-20,20,BUY,55,-2.06,False
TSLA,2024-12-23,5,BUY,55,-6.21,False
TSLA,2024-12-23,10,BUY,55,-8.28,False
TSLA,2024-12-23,20,BUY,55,-5.58,False
TSLA,2024-12-24,5,BUY,55,-17.95,False
TSLA,2024-12-24,10,BUY,55,-14.61,False
TSLA,2024-12-24,20,BUY,55,-14.09,False
TSLA,2024-12-26,5,BUY,55,-9.62,False
TSLA,2024-12-26,10,BUY,55,-11.19,False
TSLA,2024-12-26,20,BUY,55,-12.34,False
TSLA,2024-12-27,5,BUY,55,-4.77,False
TSLA,2024-12-27,10,BUY,55,-8.18,False
TSLA,2024-12-27,20,BUY,55,-9.86,False
TSLA,2024-12-30,5,BUY,55,-5.52,False
TSLA,2024-12-30,10,BUY,55,2.59,True
TSLA,2024-12-30,20,BUY,55,-4.1,False
TSLA,2024-12-31,5,BUY,55,-2.2,False
TSLA,2024-12-31,10,BUY,55,2.47,True
TSLA,2024-12-31,20,BUY,55,0.19,True
TSLA,2025-01-02,5,BUY,55,4.08,True
TSLA,2025-01-02,10,BUY,55,12.45,True
