ticker,date,strategy,signal,horizon,entry_price,future_price,markout_pct,bucket,in_sample
GOOGL,2025-11-19,RL-only,BUY,3,292.41,318.15,8.8009,,False
GOOGL,2025-11-19,RL-only,BUY,5,292.41,319.52,9.2688,,False
GOOGL,2025-11-19,RL-only,BUY,10,292.41,317.19,8.4731,,False
GOOGL,2025-11-19,RL-only,BUY,21,292.41,306.94,4.9694,,False
GOOGL,2025-11-20,Hybrid,BUY,1,289.06,299.25,3.5274,rl_override,False
GOOGL,2025-11-20,Hybrid,BUY,2,289.06,318.15,10.0639,rl_override,False
GOOGL,2025-11-20,Hybrid,BUY,3,289.06,323.0,11.743,rl_override,False
GOOGL,2025-11-20,Hybrid,BUY,5,289.06,319.75,10.6167,rl_override,False
GOOGL,2025-11-20,Hybrid,BUY,10,289.06,320.83,10.9933,rl_override,False
GOOGL,2025-11-20,Hybrid,BUY,21,289.06,309.56,7.0937,rl_override,False
GOOGL,2025-11-20,RL-only,BUY,1,289.06,299.25,3.5274,,False
GOOGL,2025-11-20,RL-only,BUY,2,289.06,318.15,10.0639,,False
GOOGL,2025-11-20,RL-only,BUY,3,289.06,323.0,11.743,,False
GOOGL,2025-11-20,RL-only,BUY,5,289.06,319.75,10.6167,,False
GOOGL,2025-11-20,RL-only,BUY,10,289.06,320.83,10.9933,,False
GOOGL,2025-11-20,RL-only,BUY,21,289.06,309.56,7.0937,,False
GOOGL,2025-11-21,Hybrid,BUY,1,299.25,318.15,6.3138,rl_override,False
GOOGL,2025-11-21,Hybrid,BUY,2,299.25,323.0,7.9357,rl_override,False
GOOGL,2025-11-21,Hybrid,BUY,3,299.25,319.52,6.771,rl_override,False
GOOGL,2025-11-21,Hybrid,BUY,5,299.25,314.46,5.0824,rl_override,False
GOOGL,2025-11-21,Hybrid,BUY,10,299.25,313.5,4.7605,rl_override,False
GOOGL,2025-11-21,Hybrid,BUY,21,299.25,314.13,4.9708,rl_override,False
GOOGL,2025-11-21,RL-only,BUY,1,299.25,318.15,6.3138,,False
GOOGL,2025-11-21,RL-only,BUY,2,299.25,323.0,7.9357,,False
GOOGL,2025-11-21,RL-only,BUY,3,299.25,319.52,6.771,,False
GOOGL,2025-11-21,RL-only,BUY,5,299.25,314.46,5.0824,,False
GOOGL,2025-11-21,RL-only,BUY,10,299.25,313.5,4.7605,,False
GOOGL,2025-11-21,RL-only,BUY,21,299.25,314.13,4.9708,,False
GOOGL,2025-11-24,Hybrid,BUY,1,318.15,323.0,1.5255,rl_override,False
GOOGL,2025-11-24,Hybrid,BUY,2,318.15,319.52,0.4301,rl_override,False
GOOGL,2025-11-24,Hybrid,BUY,3,318.15,319.75,0.5022,rl_override,False
GOOGL,2025-11-24,Hybrid,BUY,5,318.15,315.38,-0.8695,rl_override,False
GOOGL,2025-11-24,Hybrid,BUY,10,318.15,316.86,-0.4057,rl_override,False
GOOGL,2025-11-24,Hybrid,BUY,21,318.15,313.87,-1.3449,rl_override,False
GOOGL,2025-11-24,RL-only,BUY,1,318.15,323.0,1.5255,,False
GOOGL,2025-11-24,RL-only,BUY,2,318.15,319.52,0.4301,,False
GOOGL,2025-11-24,RL-only,BUY,3,318.15,319.75,0.5022,,False
GOOGL,2025-11-24,RL-only,BUY,5,318.15,315.38,-0.8695,,False
GOOGL,2025-11-24,RL-only,BUY,10,318.15,316.86,-0.4057,,False
GOOGL,2025-11-24,RL-only,BUY,21,318.15,313.87,-1.3449,,False
GOOGL,2025-11-25,Hybrid,BUY,1,323.0,319.52,-1.079,rl_override,False
GOOGL,2025-11-25,Hybrid,BUY,2,323.0,319.75,-1.0079,rl_override,False
GOOGL,2025-11-25,Hybrid,BUY,3,323.0,314.46,-2.6435,rl_override,False
GOOGL,2025-11-25,Hybrid,BUY,5,323.0,319.2,-1.178,rl_override,False
GOOGL,2025-11-25,Hybrid,BUY,10,323.0,319.98,-0.9339,rl_override,False
GOOGL,2025-11-25,Hybrid,BUY,21,323.0,313.29,-3.0067,rl_override,False
GOOGL,2025-11-25,RL-only,BUY,1,323.0,319.52,-1.079,,False
GOOGL,2025-11-25,RL-only,BUY,2,323.0,319.75,-1.0079,,False
GOOGL,2025-11-25,RL-only,BUY,3,323.0,314.46,-2.6435,,False
GOOGL,2025-11-25,RL-only,BUY,5,323.0,319.2,-1.178,,False
GOOGL,2025-11-25,RL-only,BUY,10,323.0,319.98,-0.9339,,False
GOOGL,2025-11-25,RL-only,BUY,21,323.0,313.29,-3.0067,,False
GOOGL,2025-11-26,Hybrid,BUY,1,319.52,319.75,0.0719,rl_override,False
GOOGL,2025-11-26,Hybrid,BUY,2,319.52,314.46,-1.5815,rl_override,False
GOOGL,2025-11-26,Hybrid,BUY,3,319.52,315.38,-1.294,rl_override,False
GOOGL,2025-11-26,Hybrid,BUY,5,319.52,317.19,-0.7282,rl_override,False
GOOGL,2025-11-26,Hybrid,BUY,10,319.52,312.21,-2.2865,rl_override,False
GOOGL,2025-11-26,Hybrid,BUY,21,319.52,313.34,-1.9331,rl_override,False
GOOGL,2025-11-26,RL-only,BUY,1,319.52,319.75,0.0719,,False
GOOGL,2025-11-26,RL-only,BUY,2,319.52,314.46,-1.5815,,False
GOOGL,2025-11-26,RL-only,BUY,3,319.52,315.38,-1.294,,False
GOOGL,2025-11-26,RL-only,BUY,5,319.52,317.19,-0.7282,,False
GOOGL,2025-11-26,RL-only,BUY,10,319.52,312.21,-2.2865,,False
GOOGL,2025-11-26,RL-only,BUY,21,319.52,313.34,-1.9331,,False
GOOGL,2025-11-28,Hybrid,BUY,1,319.75,314.46,-1.6522,rl_override,False
GOOGL,2025-11-28,Hybrid,BUY,2,319.75,315.38,-1.3649,rl_override,False
GOOGL,2025-11-28,Hybrid,BUY,3,319.75,319.2,-0.1718,rl_override,False
GOOGL,2025-11-28,Hybrid,BUY,5,319.75,320.83,0.3404,rl_override,False
GOOGL,2025-11-28,Hybrid,BUY,10,319.75,309.07,-3.338,rl_override,False
GOOGL,2025-11-28,Hybrid,BUY,21,319.75,313.63,-1.9129,rl_override,False
GOOGL,2025-11-28,RL-only,BUY,1,319.75,314.46,-1.6522,,False
GOOGL,2025-11-28,RL-only,BUY,2,319.75,315.38,-1.3649,,False
GOOGL,2025-11-28,RL-only,BUY,3,319.75,319.2,-0.1718,,False
GOOGL,2025-11-28,RL-only,BUY,5,319.75,320.83,0.3404,,False
GOOGL,2025-11-28,RL-only,BUY,10,319.75,309.07,-3.338,,False
GOOGL,2025-11-28,RL-only,BUY,21,319.75,313.63,-1.9129,,False
GOOGL,2025-12-01,Hybrid,BUY,1,314.46,315.38,0.2922,rl_override,False
GOOGL,2025-12-01,Hybrid,BUY,2,314.46,319.2,1.5053,rl_override,False
GOOGL,2025-12-01,Hybrid,BUY,3,314.46,317.19,0.867,rl_override,False
GOOGL,2025-12-01,Hybrid,BUY,5,314.46,313.5,-0.3064,rl_override,False
GOOGL,2025-12-01,Hybrid,BUY,10,314.46,308.0,-2.0542,rl_override,False
GOOGL,2025-12-01,Hybrid,BUY,21,314.46,312.78,-0.5352,rl_override,False
GOOGL,2025-12-01,RL-only,BUY,1,314.46,315.38,0.2922,,False
GOOGL,2025-12-01,RL-only,BUY,2,314.46,319.2,1.5053,,False
GOOGL,2025-12-01,RL-only,BUY,3,314.46,317.19,0.867,,False
GOOGL,2025-12-01,RL-only,BUY,5,314.46,313.5,-0.3064,,False
GOOGL,2025-12-01,RL-only,BUY,10,314.46,308.0,-2.0542,,False
GOOGL,2025-12-01,RL-only,BUY,21,314.46,312.78,-0.5352,,False
GOOGL,2025-12-02,Hybrid,BUY,1,315.38,319.2,1.2096,rl_override,False
GOOGL,2025-12-02,Hybrid,BUY,2,315.38,317.19,0.5731,rl_override,False
GOOGL,2025-12-02,Hybrid,BUY,3,315.38,320.83,1.7289,rl_override,False
GOOGL,2025-12-02,Hybrid,BUY,5,315.38,316.86,0.4678,rl_override,False
GOOGL,2025-12-02,Hybrid,BUY,10,315.38,306.35,-2.8623,rl_override,False
GOOGL,2025-12-02,Hybrid,BUY,21,315.38,314.93,-0.1437,rl_override,False
GOOGL,2025-12-02,RL-only,BUY,1,315.38,319.2,1.2096,,False
GOOGL,2025-12-02,RL-only,BUY,2,315.38,317.19,0.5731,,False
GOOGL,2025-12-02,RL-only,BUY,3,315.38,320.83,1.7289,,False
GOOGL,2025-12-02,RL-only,BUY,5,315.38,316.86,0.4678,,False
GOOGL,2025-12-02,RL-only,BUY,10,315.38,306.35,-2.8623,,False
GOOGL,2025-12-02,RL-only,BUY,21,315.38,314.93,-0.1437,,False
GOOGL,2025-12-03,Hybrid,BUY,1,319.2,317.19,-0.6289,rl_override,False
GOOGL,2025-12-03,Hybrid,BUY,2,319.2,320.83,0.5131,rl_override,False
GOOGL,2025-12-03,Hybrid,BUY,3,319.2,313.5,-1.7848,rl_override,False
GOOGL,2025-12-03,Hybrid,BUY,5,319.2,319.98,0.247,rl_override,False
GOOGL,2025-12-03,Hybrid,BUY,10,319.2,296.51,-7.1069,rl_override,False
GOOGL,2025-12-03,Hybrid,BUY,21,319.2,316.32,-0.902,rl_override,False
GOOGL,2025-12-03,RL-only,BUY,1,319.2,317.19,-0.6289,,False
GOOGL,2025-12-03,RL-only,BUY,2,319.2,320.83,0.5131,,False
GOOGL,2025-12-03,RL-only,BUY,3,319.2,313.5,-1.7848,,False
GOOGL,2025-12-03,RL-only,BUY,5,319.2,319.98,0.247,,False
GOOGL,2025-12-03,RL-only,BUY,10,319.2,296.51,-7.1069,,False
GOOGL,2025-12-03,RL-only,BUY,21,319.2,316.32,-0.902,,False
GOOGL,2025-12-04,Hybrid,BUY,1,317.19,320.83,1.1492,rl_override,False
GOOGL,2025-12-04,Hybrid,BUY,2,317.19,313.5,-1.1633,rl_override,False
GOOGL,2025-12-04,Hybrid,BUY,3,317.19,316.86,-0.1047,rl_override,False
GOOGL,2025-12-04,Hybrid,BUY,5,317.19,312.21,-1.5697,rl_override,False
GOOGL,2025-12-04,Hybrid,BUY,10,317.19,302.25,-4.7107,rl_override,False
GOOGL,2025-12-04,Hybrid,BUY,21,317.19,314.12,-0.9679,rl_override,False
GOOGL,2025-12-04,RL-only,BUY,1,317.19,320.83,1.1492,,False
GOOGL,2025-12-04,RL-only,BUY,2,317.19,313.5,-1.1633,,False
GOOGL,2025-12-04,RL-only,BUY,3,317.19,316.86,-0.1047,,False
GOOGL,2025-12-04,RL-only,BUY,5,317.19,312.21,-1.5697,,False
GOOGL,2025-12-04,RL-only,BUY,10,317.19,302.25,-4.7107,,False
GOOGL,2025-12-04,RL-only,BUY,21,317.19,314.12,-0.9679,,False
GOOGL,2025-12-05,Hybrid,BUY,1,320.83,313.5,-2.2862,rl_override,False
GOOGL,2025-12-05,Hybrid,BUY,2,320.83,316.86,-1.2396,rl_override,False
GOOGL,2025-12-05,Hybrid,BUY,3,320.83,319.98,-0.2647,rl_override,False
GOOGL,2025-12-05,Hybrid,BUY,5,320.83,309.07,-3.666,rl_override,False
GOOGL,2025-12-05,Hybrid,BUY,10,320.83,306.94,-4.3294,rl_override,False
GOOGL,2025-12-05,Hybrid,BUY,21,320.83,321.75,0.2866,rl_override,False
GOOGL,2025-12-05,RL-only,BUY,1,320.83,313.5,-2.2862,,False
GOOGL,2025-12-05,RL-only,BUY,2,320.83,316.86,-1.2396,,False
GOOGL,2025-12-05,RL-only,BUY,3,320.83,319.98,-0.2647,,False
GOOGL,2025-12-05,RL-only,BUY,5,320.83,309.07,-3.666,,False
GOOGL,2025-12-05,RL-only,BUY,10,320.83,306.94,-4.3294,,False
