ticker,date,strategy,signal,horizon,entry_price,future_price,markout_pct,timesteps
AAPL,2025-10-10,RL,BUY,10,244.8,262.32,7.1554,100000
AAPL,2025-10-10,RL,BUY,21,244.8,269.18,9.9569,100000
AAPL,2025-10-13,Hybrid,BUY,1,247.19,247.3,0.0444,100000
AAPL,2025-10-13,Hybrid,BUY,2,247.19,248.87,0.6783,100000
AAPL,2025-10-13,Hybrid,BUY,3,247.19,246.98,-0.0848,100000
AAPL,2025-10-13,Hybrid,BUY,5,247.19,261.74,5.8871,100000
AAPL,2025-10-13,Hybrid,BUY,10,247.19,268.3,8.5399,100000
AAPL,2025-10-13,Hybrid,BUY,21,247.19,274.99,11.248,100000
AAPL,2025-10-13,RL,BUY,1,247.19,247.3,0.0444,100000
AAPL,2025-10-13,RL,BUY,2,247.19,248.87,0.6783,100000
AAPL,2025-10-13,RL,BUY,3,247.19,246.98,-0.0848,100000
AAPL,2025-10-13,RL,BUY,5,247.19,261.74,5.8871,100000
AAPL,2025-10-13,RL,BUY,10,247.19,268.3,8.5399,100000
AAPL,2025-10-13,RL,BUY,21,247.19,274.99,11.248,100000
AAPL,2025-10-14,Hybrid,BUY,1,247.3,248.87,0.6337,100000
AAPL,2025-10-14,Hybrid,BUY,2,247.3,246.98,-0.1291,100000
AAPL,2025-10-14,Hybrid,BUY,3,247.3,251.81,1.8243,100000
AAPL,2025-10-14,Hybrid,BUY,5,247.3,262.27,6.054,100000
AAPL,2025-10-14,Hybrid,BUY,10,247.3,268.49,8.5684,100000
AAPL,2025-10-14,Hybrid,BUY,21,247.3,273.21,10.4795,100000
AAPL,2025-10-14,RL,BUY,1,247.3,248.87,0.6337,100000
AAPL,2025-10-14,RL,BUY,2,247.3,246.98,-0.1291,100000
AAPL,2025-10-14,RL,BUY,3,247.3,251.81,1.8243,100000
AAPL,2025-10-14,RL,BUY,5,247.3,262.27,6.054,100000
AAPL,2025-10-14,RL,BUY,10,247.3,268.49,8.5684,100000
AAPL,2025-10-14,RL,BUY,21,247.3,273.21,10.4795,100000
AAPL,2025-10-15,Hybrid,BUY,1,248.87,246.98,-0.758,100000
AAPL,2025-10-15,Hybrid,BUY,2,248.87,251.81,1.1831,100000
AAPL,2025-10-15,Hybrid,BUY,3,248.87,261.74,5.1737,100000
AAPL,2025-10-15,Hybrid,BUY,5,248.87,257.96,3.6537,100000
AAPL,2025-10-15,Hybrid,BUY,10,248.87,269.19,8.1656,100000
AAPL,2025-10-15,Hybrid,BUY,21,248.87,272.69,9.5751,100000
AAPL,2025-10-15,RL,BUY,1,248.87,246.98,-0.758,100000
AAPL,2025-10-15,RL,BUY,2,248.87,251.81,1.1831,100000
AAPL,2025-10-15,RL,BUY,3,248.87,261.74,5.1737,100000
AAPL,2025-10-15,RL,BUY,5,248.87,257.96,3.6537,100000
AAPL,2025-10-15,RL,BUY,10,248.87,269.19,8.1656,100000
AAPL,2025-10-15,RL,BUY,21,248.87,272.69,9.5751,100000
AAPL,2025-10-16,Hybrid,BUY,1,246.98,251.81,1.9559,100000
AAPL,2025-10-16,Hybrid,BUY,2,246.98,261.74,5.977,100000
